Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,bool_Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,bool_Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type_Private,School_Type_Public,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,numeric_Parental_Education_Level,Distance_from_Home,numeric_Distance_from_Home,Gender,Exam_Score,numeric_Parental_Involvement,numeric_Access_to_Resources,numeric_Motivation_Level,numeric_Family_Income,numeric_Teacher_Quality,numeric_Peer_Influence,numeric_Learning_Disabilities
23,84,Low,High,No,False,7,73,Low,Yes,True,0,Low,Medium,False,True,Positive,3,No,High School,0,Near,0,Male,67,0,2,0,0,1,1,False
19,64,Low,Medium,No,False,8,59,Low,Yes,True,2,Medium,Medium,False,True,Negative,4,No,College,1,Moderate,1,Female,61,0,1,0,1,1,-1,False
24,98,Medium,Medium,Yes,True,7,91,Medium,Yes,True,2,Medium,Medium,False,True,Neutral,4,No,Postgraduate,2,Near,0,Male,74,1,1,1,1,1,0,False
29,89,Low,Medium,Yes,True,8,98,Medium,Yes,True,1,Medium,Medium,False,True,Negative,4,No,High School,0,Moderate,1,Male,71,0,1,1,1,1,-1,False
19,92,Medium,Medium,Yes,True,6,65,Medium,Yes,True,3,Medium,High,False,True,Neutral,4,No,College,1,Near,0,Female,70,1,1,1,1,2,0,False
19,88,Medium,Medium,Yes,True,8,89,Medium,Yes,True,3,Medium,Medium,False,True,Positive,3,No,Postgraduate,2,Near,0,Male,71,1,1,1,1,1,1,False
29,84,Medium,Low,Yes,True,7,68,Low,Yes,True,1,Low,Medium,True,False,Neutral,2,No,High School,0,Moderate,1,Male,67,1,0,0,0,1,0,False
25,78,Low,High,Yes,True,6,50,Medium,Yes,True,1,High,High,False,True,Negative,2,No,High School,0,Far,2,Male,66,0,2,1,2,2,-1,False
17,94,Medium,High,No,False,6,80,High,Yes,True,0,Medium,Low,True,False,Neutral,1,No,College,1,Near,0,Male,69,1,2,2,1,0,0,False
23,98,Medium,Medium,Yes,True,8,71,Medium,Yes,True,0,High,High,False,True,Positive,5,No,High School,0,Moderate,1,Male,72,1,1,1,2,2,1,False
17,80,Low,High,No,False,8,88,Medium,No,False,4,Medium,High,True,False,Neutral,4,No,College,1,Moderate,1,Male,68,0,2,1,1,2,0,False
17,97,Medium,High,Yes,True,6,87,Low,Yes,True,2,Low,High,True,False,Neutral,2,No,High School,0,Near,0,Male,71,1,2,0,0,2,0,False
21,83,Medium,Medium,Yes,True,8,97,Low,Yes,True,2,Medium,Medium,False,True,Positive,4,No,High School,0,Near,0,Male,70,1,1,0,1,1,1,False
9,82,Medium,Medium,Yes,True,8,72,Medium,Yes,True,2,Medium,Medium,True,False,Positive,3,No,Postgraduate,2,Near,0,Male,66,1,1,1,1,1,1,False
10,78,Medium,High,Yes,True,8,74,Medium,Yes,True,1,Low,Medium,True,False,Neutral,4,No,Postgraduate,2,Near,0,Male,65,1,2,1,0,1,0,False
17,68,Medium,Medium,No,False,8,70,Medium,Yes,True,2,Medium,Medium,True,False,Positive,4,No,High School,0,Near,0,Female,64,1,1,1,1,1,1,False
14,60,Medium,Low,Yes,True,10,65,Low,Yes,True,0,High,Medium,True,False,Positive,3,No,College,1,Near,0,Male,60,1,0,0,2,1,1,False
22,70,Low,Medium,Yes,True,6,82,Medium,Yes,True,1,Low,High,False,True,Neutral,3,No,High School,0,Near,0,Female,65,0,1,1,0,2,0,False
15,80,Medium,Medium,Yes,True,9,91,Low,Yes,True,3,Low,Medium,False,True,Positive,2,No,College,1,Moderate,1,Female,67,1,1,0,0,1,1,False
12,75,Medium,High,Yes,True,7,58,Medium,Yes,True,3,Medium,Medium,True,False,Positive,4,No,College,1,Near,0,Male,66,1,2,1,1,1,1,False
