Hours_Studied,Attendance,bool_Extracurricular_Activities,Sleep_Hours,Previous_Scores,bool_Internet_Access,Tutoring_Sessions,School_Type_Private,School_Type_Public,Physical_Activity,numeric_Parental_Education_Level,numeric_Distance_from_Home,Exam_Score,numeric_Parental_Involvement,numeric_Access_to_Resources,numeric_Motivation_Level,numeric_Family_Income,numeric_Teacher_Quality,numeric_Peer_Influence,numeric_Learning_Disabilities
23,84,False,7,73,True,0,False,True,3,0,0,67,0,2,0,0,1,1,False
19,64,False,8,59,True,2,False,True,4,1,1,61,0,1,0,1,1,-1,False
24,98,True,7,91,True,2,False,True,4,2,0,74,1,1,1,1,1,0,False
29,89,True,8,98,True,1,False,True,4,0,1,71,0,1,1,1,1,-1,False
19,92,True,6,65,True,3,False,True,4,1,0,70,1,1,1,1,2,0,False
19,88,True,8,89,True,3,False,True,3,2,0,71,1,1,1,1,1,1,False
29,84,True,7,68,True,1,True,False,2,0,1,67,1,0,0,0,1,0,False
25,78,True,6,50,True,1,False,True,2,0,2,66,0,2,1,2,2,-1,False
17,94,False,6,80,True,0,True,False,1,1,0,69,1,2,2,1,0,0,False
23,98,True,8,71,True,0,False,True,5,0,1,72,1,1,1,2,2,1,False
17,80,False,8,88,False,4,True,False,4,1,1,68,0,2,1,1,2,0,False
17,97,True,6,87,True,2,True,False,2,0,0,71,1,2,0,0,2,0,False
21,83,True,8,97,True,2,False,True,4,0,0,70,1,1,0,1,1,1,False
9,82,True,8,72,True,2,True,False,3,2,0,66,1,1,1,1,1,1,False
10,78,True,8,74,True,1,True,False,4,2,0,65,1,2,1,0,1,0,False
17,68,False,8,70,True,2,True,False,4,0,0,64,1,1,1,1,1,1,False
14,60,True,10,65,True,0,True,False,3,1,0,60,1,0,0,2,1,1,False
22,70,True,6,82,True,1,False,True,3,0,0,65,0,1,1,0,2,0,False
15,80,True,9,91,True,3,False,True,2,1,1,67,1,1,0,0,1,1,False
12,75,True,7,58,True,3,True,False,4,1,0,66,1,2,1,1,1,1,False
29,78,False,5,99,True,0,False,True,1,0,1,69,1,1,2,2,1,-1,False
19,99,False,6,84,True,1,False,True,3,0,0,72,1,2,1,1,2,0,False
20,74,False,8,89,True,1,False,True,2,1,1,66,1,2,0,1,1,-1,False
11,78,True,8,100,True,1,False,True,3,0,1,66,2,1,2,0,1,0,False
17,65,True,5,75,True,2,False,True,3,0,0,63,0,2,1,0,1,1,False
21,62,True,6,54,True,0,False,True,3,2,2,64,2,0,2,2,2,1,False
13,91,False,6,90,True,1,False,True,2,0,1,65,0,1,1,2,1,-1,True
22,83,True,6,94,True,0,False,True,2,1,1,71,2,2,1,2,1,0,False
16,90,False,4,58,True,1,False,True,3,0,1,66,1,1,1,0,1,0,False
18,66,False,4,51,True,2,True,False,2,1,0,64,2,2,0,0,1,0,False
16,83,False,6,57,True,0,False,True,4,0,0,63,0,1,1,2,0,1,True
31,70,True,7,66,True,1,False,True,3,1,0,69,1,2,1,2,1,-1,False
20,69,True,8,96,True,2,False,True,3,0,0,67,1,1,1,1,2,1,False
25,65,False,5,90,True,2,False,True,3,1,1,68,2,1,1,1,1,1,False
13,72,False,6,93,True,1,False,True,3,0,0,61,0,1,0,0,1,-1,False
21,65,True,7,91,True,2,False,True,3,0,2,64,1,0,0,1,2,1,False
8,99,False,9,54,True,2,False,True,5,2,0,67,1,1,0,0,1,0,False
12,72,True,8,84,True,1,False,True,5,0,0,63,0,1,1,0,1,1,False
